,use
2018-08-24 04:00:00,9829.085
2018-08-24 05:00:00,10036.065
2018-08-24 06:00:00,10179.575
2018-08-24 07:00:00,10224.483
2018-08-24 08:00:00,10191.511
2018-08-24 09:00:00,10121.282
2018-08-24 10:00:00,10043.408
2018-08-24 11:00:00,9971.868
2018-08-24 12:00:00,9914.698
2018-08-24 13:00:00,9880.476
2018-08-24 14:00:00,9876.431
2018-08-24 15:00:00,9903.057
2018-08-24 16:00:00,9951.0
2018-08-24 17:00:00,10002.294
2018-08-24 18:00:00,10034.773
2018-08-24 19:00:00,10027.257
2018-08-24 20:00:00,9963.209
2018-08-24 21:00:00,9831.698
2018-08-24 22:00:00,9626.09
2018-08-24 23:00:00,9342.692
2018-08-25 00:00:00,9254.0205
2018-08-25 01:00:00,9329.786
2018-08-25 02:00:00,9357.77
2018-08-25 03:00:00,9439.731
2018-08-25 04:00:00,9618.61
2018-08-25 05:00:00,9833.267
2018-08-25 06:00:00,9994.36
2018-08-25 07:00:00,10057.221
2018-08-25 08:00:00,10035.625
2018-08-25 09:00:00,9969.24
2018-08-25 10:00:00,9890.431
2018-08-25 11:00:00,9815.928
2018-08-25 12:00:00,9755.066
2018-08-25 13:00:00,9716.916
2018-08-25 14:00:00,9709.341
2018-08-25 15:00:00,9733.766
2018-08-25 16:00:00,9781.57
2018-08-25 17:00:00,9834.791
2018-08-25 18:00:00,9870.418
2018-08-25 19:00:00,9865.947
2018-08-25 20:00:00,9803.681
2018-08-25 21:00:00,9672.116
2018-08-25 22:00:00,9464.652
2018-08-25 23:00:00,9178.095
2018-08-26 00:00:00,9081.451
2018-08-26 01:00:00,9137.288
2018-08-26 02:00:00,9143.143
2018-08-26 03:00:00,9207.421
2018-08-26 04:00:00,9379.101
2018-08-26 05:00:00,9601.119
2018-08-26 06:00:00,9781.9795
2018-08-26 07:00:00,9868.493
2018-08-26 08:00:00,9865.748
2018-08-26 09:00:00,9810.097
2018-08-26 10:00:00,9735.563
2018-08-26 11:00:00,9661.788
2018-08-26 12:00:00,9599.838
2018-08-26 13:00:00,9559.377
2018-08-26 14:00:00,9548.743
2018-08-26 15:00:00,9570.244
2018-08-26 16:00:00,9616.282
2018-08-26 17:00:00,9669.456
2018-08-26 18:00:00,9706.49
2018-08-26 19:00:00,9703.937
2018-08-26 20:00:00,9643.024
2018-08-26 21:00:00,9511.601
2018-08-26 22:00:00,9303.052
2018-08-26 23:00:00,9014.761
2018-08-27 00:00:00,8911.792
2018-08-27 01:00:00,8947.47
2018-08-27 02:00:00,8930.303
2018-08-27 03:00:00,8974.003
2018-08-27 04:00:00,9133.208
2018-08-27 05:00:00,9356.811
2018-08-27 06:00:00,9554.292
2018-08-27 07:00:00,9665.806
2018-08-27 08:00:00,9686.854
2018-08-27 09:00:00,9648.041
2018-08-27 10:00:00,9583.182
2018-08-27 11:00:00,9514.216
2018-08-27 12:00:00,9453.975
2018-08-27 13:00:00,9412.684
2018-08-27 14:00:00,9398.912
2018-08-27 15:00:00,9415.683
2018-08-27 16:00:00,9456.647
2018-08-27 17:00:00,9505.685
2018-08-27 18:00:00,9540.233
2018-08-27 19:00:00,9536.752
2018-08-27 20:00:00,9475.796
2018-08-27 21:00:00,9344.505
2018-08-27 22:00:00,9135.973
2018-08-27 23:00:00,8847.851
2018-08-28 00:00:00,8740.7
2018-08-28 01:00:00,8757.052
2018-08-28 02:00:00,8717.16
2018-08-28 03:00:00,8738.447
2018-08-28 04:00:00,8880.625
2018-08-28 05:00:00,9099.884
2018-08-28 06:00:00,9309.635
2018-08-28 07:00:00,9445.927
2018-08-28 08:00:00,9494.781
2018-08-28 09:00:00,9479.007
2018-08-28 10:00:00,9429.988
2018-08-28 11:00:00,9370.846
2018-08-28 12:00:00,9315.974
2018-08-28 13:00:00,9276.167
2018-08-28 14:00:00,9260.092
2018-08-28 15:00:00,9271.341
2018-08-28 16:00:00,9304.952
2018-08-28 17:00:00,9346.64
2018-08-28 18:00:00,9375.436
2018-08-28 19:00:00,9368.571
2018-08-28 20:00:00,9306.446
2018-08-28 21:00:00,9175.526
2018-08-28 22:00:00,8968.324
2018-08-28 23:00:00,8682.376
2018-08-29 00:00:00,8607.326
2018-08-29 01:00:00,8551.765
2018-08-29 02:00:00,8546.909
2018-08-29 03:00:00,8721.513
2018-08-29 04:00:00,9056.398
2018-08-29 05:00:00,9444.734
2018-08-29 06:00:00,9769.668
2018-08-29 07:00:00,9966.033
2018-08-29 08:00:00,10038.044
2018-08-29 09:00:00,10029.136
2018-08-29 10:00:00,9981.7295
2018-08-29 11:00:00,9920.58
2018-08-29 12:00:00,9858.46
2018-08-29 13:00:00,9805.739
2018-08-29 14:00:00,9772.795
2018-08-29 15:00:00,9766.358
2018-08-29 16:00:00,9785.319
2018-08-29 17:00:00,9819.397
2018-08-29 18:00:00,9850.921
2018-08-29 19:00:00,9858.591
2018-08-29 20:00:00,9821.768
2018-08-29 21:00:00,9723.681
2018-08-29 22:00:00,9552.367
2018-08-29 23:00:00,9300.452
2018-08-30 00:00:00,9242.355
2018-08-30 01:00:00,9382.29
2018-08-30 02:00:00,9498.458
2018-08-30 03:00:00,9661.497
2018-08-30 04:00:00,9891.097
2018-08-30 05:00:00,10118.564
2018-08-30 06:00:00,10264.081
2018-08-30 07:00:00,10302.468
2018-08-30 08:00:00,10263.119
2018-08-30 09:00:00,10189.777
2018-08-30 10:00:00,10111.192
2018-08-30 11:00:00,10040.125
2018-08-30 12:00:00,9984.706
2018-08-30 13:00:00,9954.352
2018-08-30 14:00:00,9956.768
2018-08-30 15:00:00,9992.075
2018-08-30 16:00:00,10049.903
2018-08-30 17:00:00,10111.141
2018-08-30 18:00:00,10152.881
2018-08-30 19:00:00,10153.924
2018-08-30 20:00:00,10098.359
2018-08-30 21:00:00,9976.007
2018-08-30 22:00:00,9780.784
2018-08-30 23:00:00,9508.627
2018-08-31 00:00:00,9435.598
2018-08-31 01:00:00,9537.524
2018-08-31 02:00:00,9592.999
2018-08-31 03:00:00,9694.09
2018-08-31 04:00:00,9877.225
2018-08-31 05:00:00,10079.904
2018-08-31 06:00:00,10218.663
2018-08-31 07:00:00,10259.019
2018-08-31 08:00:00,10222.093
2018-08-31 09:00:00,10148.385
2018-08-31 10:00:00,10067.083
2018-08-31 11:00:00,9991.849
2018-08-31 12:00:00,9930.692
2018-08-31 13:00:00,9892.409
2018-08-31 14:00:00,9884.565
